Province,MONTH,TAVG,TMAX,TMIN,,
AH,2023/01,4.8,10.3,-0.7,,
AH,2023/02,6.8,12.2,1.3,,
AH,2023/03,13.3,18.9,7.7,,
AH,2023/04,17.7,22.9,12.4,,
AH,2023/05,22.3,27.8,16.9,,
AH,2023/06,25.7,30.2,21.1,,
AH,2023/07,29.3,33.7,24.9,,
AH,2023/08,29.1,33.4,24.8,,
AH,2023/09,25.7,30.6,20.8,,
AH,2023/10,19.6,24.9,14.3,,
AH,2023/11,11.2,16.5,5.9,,
AH,2023/12,5.7,11.1,0.3,,
AH,2024/01,5.2,10.6,-0.2,,
AH,2024/02,6.5,11.8,1.2,,
AH,2024/03,13.2,18.7,7.6,,
AH,2024/04,17.9,23.1,12.7,,
AH,2024/05,22.5,28,17,,
AH,2024/06,25.8,30.3,21.2,,
AH,2024/07,29.4,33.8,25,,
AH,2024/08,29.2,33.6,24.9,,
AH,2024/09,25.8,30.7,20.9,,
AH,2024/10,19.8,25.1,14.5,,
AH,2024/11,11.4,16.8,6.1,,
AH,2024/12,5.9,11.3,0.5,,
BJ,2023/01,-3.4,3.4,-10.1,,
BJ,2023/02,0.7,7.6,-6.3,,
BJ,2023/03,9.3,16.3,2.2,,
BJ,2023/04,16.1,23.3,8.9,,
BJ,2023/05,22.8,29.8,15.9,,
BJ,2023/06,27.5,33.5,21.5,,
BJ,2023/07,28.9,34.2,23.5,,
BJ,2023/08,27.3,32.8,21.7,,
BJ,2023/09,22.4,28.5,16.3,,
BJ,2023/10,14.4,20.9,7.9,,
BJ,2023/11,3.7,10.1,-2.7,,
BJ,2023/12,-4.4,2.2,-11,,
BJ,2024/01,-2.9,3.8,-9.5,,
BJ,2024/02,0.5,7.3,-6.4,,
BJ,2024/03,9.1,16.1,2.1,,
BJ,2024/04,16.3,23.4,9.1,,
BJ,2024/05,22.9,29.9,16,,
BJ,2024/06,27.6,33.7,21.6,,
BJ,2024/07,29,34.3,23.7,,
BJ,2024/08,27.5,33,21.9,,
BJ,2024/09,22.6,28.7,16.5,,
BJ,2024/10,14.6,21.1,8.1,,
BJ,2024/11,3.9,10.4,-2.5,,
BJ,2024/12,-4.1,2.5,-10.6,,
CQ,2023/01,7.3,10.5,4.1,,
CQ,2023/02,10.2,14.3,6.2,,
CQ,2023/03,15.1,20.1,10.1,,
CQ,2023/04,18.1,22.8,13.3,,
CQ,2023/05,22.2,27.6,16.9,,
CQ,2023/06,25.5,30.3,20.7,,
CQ,2023/07,28.4,33.4,23.5,,
CQ,2023/08,30.1,35.7,24.5,,
CQ,2023/09,25.2,30.7,19.8,,
CQ,2023/10,19.1,24.2,14,,
